match_type,pattern,country_iso,city,county
variety,Black Cosmic,BR,,
variety,Black Diamond,BR,,
variety,Black Diamond Sichuan,CN,,
variety,Black Eyes,UA,,
variety,Black Falcon,BR,,
variety,Black Forest Gold,BR,,
variety,Black Fuping,CN,,
variety,Black Grain,CN,,
variety,Black Ice,UA,,
variety,Black Jack,ZA,,
variety,Black Jinan,CN,,
variety,Black Lake,BR,,
variety,Black Leopard,RU,,
variety,Black Magenta,IN,,
variety,Black Magic,TR,,
variety,Black Mamba,BR,,
variety,Black Marinace,BR,,
variety,Black Marine,IN,,
variety,Black Markino,IN,,
variety,Black Marquinho,IN,,
variety,Black Meteorite,CN,,
variety,Black Mist,BR,,
variety,Black Night,BR,,
variety,Black Orumieh,IR,,
